Tipo,Pregunta,Respuestas,Ayuda,Adjuntar
radio,"¿La Institución cuenta con área, departamento o dirección de sistemas de información?",SI;NO,Ayuda,SI
radio,¿Qué porcentaje del presupuesto de la institución fue asignado a tecnologías de la información y la comunicación en los últimos 12 meses?,"Menos de 1,5%;Entre 1,5% y 3%;De 3 a 6%;Más de 6%;No sabe",Ayuda,SI
radio,¿En los últimos 12 meses su institución cuenta con computadores como herramienta tecnológica básica para el desarrollo de su plataforma estratégica?,SI;NO,Ayuda,SI
radio,SI SU RESPUESTA A LA PREGUNTA (3) ES NEGATIVA (NO) ¿Por cuáles razones en los consultorios de su institución NO se usó computadores en los últimos 12 meses? ,La institución no necesita computadoras en los consultorios; Alto costo de adquisición de computadoras para los consultorios;Alto costo de mantenimiento de computadoras;El costo-beneficio del uso de computadoras no compensa;Poca habilidad del personal con el uso de computadoras;Otro,Ayuda,NO
input,"SI SU RESPUESTA A LA PREGUNTA (3) ES POSITIVA (SI), ¿Cuántos computadores tiene la institución?",PC de escritorio; PC portatil,Ayuda,SI
input,¿Cuántos equipos móviles que tiene la institución?,Tablet;Phablet,Ayuda,SI
input,¿Cuántos equipos de impresión que tiene la institución?,Impresora Matriz de Punto;Impresora POS (Térmica/MP);Impresora Inyección de tinta;Impresora Láser B/N;Impresora Láser Color; Impresora LED B/N;Impresora LED Color,Ayuda,SI
radio,¿La institución tiene una red interna / intranet dentro de la institución? ,SI;NO,Ayuda,SI
radio,¿La Institución cuenta con alguna persona especializada o a cargo del área de Tecnologías de la Información y la comunicación (TIC) o informática?,SI;NO,Ayuda,SI
radio,¿Cuántas personas trabajan en el área de tecnologías de la información y la comunicación (TIC) o informática?,De 1 a 3;De 3 a 5;De 5 a 10;Más de 10;No sabe,Ayuda,SI
checkbox,¿En qué servicio o área de la institución se hace uso de tecnologías de la información y la comunicación (TIC) en el desarrollo de su trabajo?,Hospitalización;Cirugía;Unidad de cuidados intensivos;Unidad de cuidados especiales;Central de referencia;Admisiones;Área financiera;Laboratorio;Farmacia;Radiología;Consulta externa,Ayuda,SI
radio,¿Cuál es el máximo nivel de educación de la persona responsable de las tecnologías de la información y la comunicación (TIC) o informática en la institución?,Sin instrucción;Primaria incompleta;Primaria completa;Estudios Técnicos;Estudios Tecnológicos;Estudios universitarios;Posgrado (maestría Doctorado Especialización MBA etc.);Postdoctorado;No sabe,Ayuda,SI
radio,"Si tiene formación educativa, ¿en cuál de las siguientes áreas realizó el grado? ","Ciencias de la Salud o Ciencias Biológicas;Administración, Contabilidad y Economía;Ciencias Exactas o Computación;Humanidades y Ciencias Sociales;Otro",Ayuda,SI
radio,En los últimos 12 meses el soporte técnico y mantenimiento de la institución fue realizada la mayor parte de las veces por:,Por personal interno de la institución;Por uno o varios prestadores de servicios contratados por la institución;Por voluntarios;Por otras organizaciones;No sabe,Ayuda,SI
radio,¿Cuántas empresas del área de las tecnologías de la información y la comunicación (TICs) prestan servicios a la institución?,1 a 3;4 a 6;Más de 6;No sabe,Ayuda,SI
input,¿Con cuál de los siguientes equipos de cómputo cuenta la institución para la atención de usuarios?,Computadora de escritorio;Computadora portátil;Tablet;PDA o agendas electrónicas;Otros:,Ayuda,SI
