Tipo,Pregunta,Respuestas,Ayuda,Adjuntar
radio,¿La institución cuenta con equipos médicos conectados en red? ,SI;NO,Ayuda,SI
radio,¿Su institución presta servicios de hospitalización domiciliaria?,SI;NO,Ayuda,SI
radio,¿Los equipos utilizados para hospitalización domiciliaria transmiten la información al centro médico?,SI;NO,Ayuda,SI
radio,¿Esta información puede incorporarse a la Historia Clínica Digital?,SI;NO,Ayuda,SI
radio,¿Para incorporar la información a la Historia Clínica Digital se requiere transmisión de la información a la red de la institución?,SI;NO,Ayuda,SI
radio,¿La institución cuenta con registro de la Historia Clínica Digital para la atención individual de pacientes? ,SI;NO,Ayuda,SI
checkbox,¿Para el registro clínico de la información de usuarios la institución hace uso de qué medios? ,"Todos los registros son electrónicos.;La mayoría de los registros son electrónicos, pero existen algunos registros en papel.;La mayoría de los registros se encuentra en papel, pero existen algunos registros electrónicos.;Todos los registros se encuentran en papel;Otro. ¿Cuál?;",Ayuda,SI
radio,"¿La institución cuenta con alguna estrategia de seguridad, de recuperación de datos o respaldo de los datos electrónicos almacenados?",SI;NO,Ayuda,SI
checkbox,¿Cuáles de los siguientes tipos de información envían o reciben de otras instituciones de salud electrónicamente?,Informaciones clínicas para profesionales de la salud de otras instituciones de salud;Derivaciones de pacientes a otras instituciones de forma electrónica;Informes sobre la asistencia suministrada al paciente en el momento en el que le dieron de alta o fue transferido a otra IPS;Lista de todos los medicamentos recetados al paciente para otras IPS;Resultados de pruebas de laboratorio del paciente para otras IPS.;Resultados de pruebas de imagen del paciente para otras IPS;Plan de cuidados de la enfermería;Otros. ¿Cuáles?;,Ayuda,SI
checkbox,¿Con cuáles de las siguientes herramientas para la seguridad electrónica de la información cuenta la institución?,"Antispam y Antimalware (malware incluye virus, gusanos, troyanos, rootkits, spyware, hardware intrusivo o cualquier otro software malicioso);Firewall, IDS (sistema detección de intrusos), IPS (sistema prevención de intrusos), WAF (firewall de aplicaciones web);Tecnología de protección de datos (criptográfica, bases de datos), DAM (monitoreo de acceso a datos), DLP (sistema de prevención de pérdida de datos);Tecnologías de autenticación (contraseñas, biometría, tokens, OTP, tarjetas inteligentes, certificados digitales);Tecnologías para la comunicación segura en aplicaciones cliente-servidor (HTTPS, VPN), con algunas tareas de bloqueo tales como tiendas en línea, acceso a sitios no deseados, descarga de música);Restricciones de acceso a sitios de internet (política de seguridad con algunas tareas bloqueo tales como: tiendas en línea, acceso a sitios no deseados, descarga de música);Gestión de Eventos y Seguridad de la Información (SIEM);Ninguno;Otros. ¿Cuáles?;",Ayuda,SI
checkbox,¿Cuáles de los siguientes servicios están disponibles vía telefónica?,Gestión de citas;Recordatorio de citas;Servicio de información de pacientes general;Servicio de información general sobre atención del establecimiento;Línea telefónica gratuita para emergencias;Movilización de la comunidad y promoción de la salud;Ninguno;Otros. ¿Cuáles?;,Ayuda,SI
checkbox,¿Cuáles de los siguientes servicios son provistos a través de la página Web de la institución?,"Concertación de citas médicas (agenda electrónica);Concertación de pruebas ;Visualización de resultados de medios diagnósticos;Visualización de historia clínica o expediente clínico ;Inserción, por el paciente, de informaciones en su historia clínica;",Ayuda,SI
