Tipo,Pregunta,Respuestas,Ayuda,Adjuntar
radio,Nivel de atención en salud,Nivel I;Nivel II;Nivel III;Nivel IV,Ayudaa,si
checkbox,Tipos de atención brindados en esta institución:,Ambulatorios;Internació;Quirúrgico;Emergencia,Ayudaa,si
checkbox,Su prestador de servicios es:,Hospital;Centro médico / Centro odontológico;Laboratorio Clínico;Centro Radiológico;Farmacias ,Ayudaa,si
input,Si es su prestador de servicios un Hospital [HOS] responda,Número de camas:;Número de médicos:;Número de pacientes intrahospitalarios/año:,Ayudaa,si
input,Si es su prestador de servicios un Centro médico / Centro odontológico [CM/CO] responda:,Número de médicos/odontólogo:;Número de pacientes/año:,Ayudaa,si
input,Si es su prestador de servicios un Laboratorio Clínico [LAB] responda:,Número de bacteriólogos:;Número muestras procesadas/año:,Ayudaa,si
input,Si es su prestador de servicios un Centro Radiológico [RAD] responda:,Número de radiólogos:;Número de exámenes radiológicos/año:,Ayudaa,si
input,Si es su prestador de servicios una Farmacias [FAR] responda:,Número de farmaceutas:;Número de prescripciones médicas procesadas/año:,Ayudaa,si
input,¿Cuántos Profesionales de la salud están laborando en la institución?,Médico General:;Médico Especialista:;Odontólogo:;Nutricionista:;Psicólogo:;Bacteriólogo:;Químico Farmacéutico:;Otros:;Cuantos:,Ayudaa,si
input,¿Cuántos Técnicos de la salud están laborando en su institución?:,Enfermero(a):;Enfermero(a) Jefe:;Paramédico:;Instrumentador:;Auxiliar / Camillero:;Técnico Farmacéutico:;Otros:;Cuantos:,Ayudaa,si
input,¿Cuántos Profesionales NO afines a la salud están laborando en su institución?,Ingeniero:;Contador:;Abogado:;Licenciado:;Periodista:;Publicista:;Físico:;Otros:;Cuantos:,Ayudaa,si
input,¿Cuántos Técnicos de la salud están laborando en su institución?:,Técnologo:;Técnico:;Agente:;Auxiliar administrativo:;Auxiliar operativo:;Servicios generales:;Otros:;Cuantos,Ayudaa,si
