CÓDIGO,NOMBRE,NIT,RAZÓN SOCIAL,NIVEL DE ATENCIÓN,GERENTE,DIRECCION,BARRIO,MUNICIPIO,DEPARTAMENTO,TELEFONO,E-MAIL EMPRESARIAL,E-MAIL 2 EMPRESARIAL,NOMBRE DEL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,TELEFONO REPRESENTANTE LEGAL,NOMBRE PERSONA ENCARGADA DE TECNOLOGIA,EMAIL PERSONA ENCARGADA DE TECNOLOGIA,TELEFONO PERSONA ENCARGADA DE TECNOLOGIA
68190007132,PUESTO DE SALUD SAN JUAN DE CIMITARRA,,,,,,,CIMITARRA,Santander,6260618,,,,,,,MARIA NELLY VERA ,esehospitalcimitarra@gmail.com,6260618
68190007133,PUESTO DE SALUD PUERTO ARAUJO,,,,,,,CIMITARRA,Santander,3183639515,,,,,,,MARIA NELLY VERA ,esehospitalcimitarra@gmail.com,3183639515
150010026601,ESE CENTRO DE REHABILITACION INTEGRAL DE BOYACA,,,,,,,TUNJA,Boyacá,3133269071,,,,,,,CAMILO ANDRES RODRIGUEZ FARFAN,info@cribsaludmental.gov.co,3133269071
862190001701,E.S.E. HOSPITAL PIO XII DE COLON,,,,,,,COLÓN,Putumayo,3153621485,,,,,,,ADRIANA ORTEGA DELGADO,esehcolon2004@yahoo.es,3153621485
197430701901,IPSI TOTOGUAMPA,,,,,,,SILVIA,Cauca,3182128385,,,,,,,Sandra Lorena Cuene,ipsitotoguampa@gmail.com,3182128385
630010046001,HOSPITAL DEL SUR ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046002,CLARITA ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046003,LA PATRIA,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046004,MILAGROSA,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046005,PARAISO ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046006,MIRAFLORES,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046007,EL CAIMO,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046008,SANTA RITA ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046009,PILOTO URIBE ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046010,ALFONSO CORREA GRILLO,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046011,NUEVA LIBERTAD ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046012,QUINDOS ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046013,FUNDADORES ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
630010046014,CAA DEL SUR ,,,,,,,ARMENIA,Quindío,7371010 ext 130,,,,,,,Luisa Fernanda Marin Garcia,gestionambiental@redsaludarmenia.gov.co,7371010 ext 130
